Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
1,17,5,0,1,1,111.94464827683719,1,19,12,5,9,118.53200440758619,1,0,0,1,1,0,20,0,0,0,0,0,-2.1968540624918433,0,0,0,0,0,-1.9632666971729593,0,6.458112454635681,0.5118684909245848,1.739132659689714,Dropout
1,15,1,1,1,1,149.9446482768372,1,1,3,3,3,133.7320044075862,1,0,0,0,1,0,19,0,0,6,6,6,11.803145937508157,0,0,6,6,6,11.703399969493706,0,9.55811245463568,-1.1881315090754152,0.7891326596897142,Graduate
1,1,5,2,1,1,111.94464827683719,1,37,37,9,9,116.03200440758619,1,0,0,0,1,0,19,0,0,6,0,0,-2.1968540624918433,0,0,6,0,0,-1.9632666971729593,0,6.458112454635681,0.5118684909245848,1.739132659689714,Dropout
1,17,2,3,1,1,111.94464827683719,1,38,37,5,3,110.83200440758618,1,0,0,1,0,0,20,0,0,6,8,6,11.231717366079586,0,0,6,10,5,10.43673330282704,0,5.058112454635681,-1.6881315090754152,-3.120867340310286,Graduate
2,39,1,4,0,1,89.94464827683719,1,37,38,9,9,132.7320044075862,0,0,0,1,0,0,45,0,0,6,9,5,10.136479270841491,0,0,6,6,6,11.036733302827042,0,9.55811245463568,-1.1881315090754152,0.7891326596897142,Graduate
2,39,1,5,0,19,123.04464827683718,1,37,37,9,7,106.03200440758619,0,0,1,1,1,0,50,0,0,5,10,5,9.660288794651015,0,0,5,17,5,9.536733302827042,5,11.85811245463568,-0.5881315090754151,-0.9208673403102858,Graduate
1,1,1,6,1,1,131.9446482768372,1,19,38,7,10,119.6320044075862,1,0,0,1,0,1,18,0,0,7,9,7,11.103145937508158,0,0,8,8,8,12.38173330282704,0,11.158112454635681,1.9118684909245847,-4.060867340310286,Graduate
1,18,4,1,1,1,108.94464827683719,1,37,37,9,9,104.33200440758618,1,0,0,0,1,0,22,0,0,5,5,0,-2.1968540624918433,0,0,5,5,0,-1.9632666971729593,0,11.158112454635681,1.9118684909245847,-4.060867340310286,Dropout
1,1,3,7,1,1,126.94464827683719,62,1,1,9,9,120.5320044075862,0,0,0,1,0,1,21,1,0,6,8,6,11.678145937508157,0,0,6,7,6,12.179590445684184,0,11.85811245463568,-0.5881315090754151,-0.9208673403102858,Graduate
1,1,1,7,1,1,127.94464827683719,1,1,19,4,7,114.23200440758619,1,0,1,0,0,0,18,0,0,6,9,5,9.203145937508157,0,0,6,14,2,11.536733302827042,0,4.558112454635681,0.5118684909245848,3.509132659689714,Dropout
1,1,1,8,1,1,128.9446482768372,1,38,19,5,7,121.83200440758618,1,0,0,1,0,0,18,0,0,6,6,6,10.136479270841491,0,0,6,7,5,12.23673330282704,0,9.55811245463568,-1.1881315090754152,0.7891326596897142,Graduate
1,1,1,6,1,1,125.94464827683719,1,19,38,9,9,110.53200440758619,1,0,0,1,0,1,18,0,0,8,8,7,11.01743165179387,0,0,8,8,7,11.251019017112753,0,8.35811245463568,2.811868490924585,-1.7008673403102859,Graduate
1,1,2,9,1,1,122.94464827683719,1,19,37,4,9,121.43200440758618,1,0,0,1,0,0,19,0,0,6,6,0,-2.1968540624918433,0,0,6,0,0,-1.9632666971729593,0,8.35811245463568,2.811868490924585,-1.7008673403102859,Dropout
1,53,1,1,1,42,99.94464827683719,1,1,1,4,7,103.03200440758619,1,0,0,1,0,1,21,0,0,6,7,6,8.374574508936728,0,0,6,8,5,9.036733302827042,0,4.558112454635681,0.5118684909245848,3.509132659689714,Graduate
1,1,1,10,1,1,138.9446482768372,1,38,37,5,5,128.3320044075862,1,0,0,1,0,1,18,0,0,5,7,4,11.053145937508157,0,0,5,5,5,10.036733302827042,0,6.458112454635681,0.5118684909245848,1.739132659689714,Graduate
1,1,1,3,1,1,116.94464827683719,1,19,37,9,3,111.93200440758619,1,0,0,1,0,0,20,0,0,6,6,5,11.003145937508156,0,0,6,7,0,-1.9632666971729593,0,11.158112454635681,1.9118684909245847,-4.060867340310286,Dropout
1,18,1,7,1,1,126.94464827683719,1,19,38,5,8,128.6320044075862,1,0,0,1,0,0,18,0,0,6,10,1,9.803145937508157,0,0,6,14,2,9.036733302827042,0,6.458112454635681,0.5118684909245848,1.739132659689714,Enrolled
1,17,2,6,1,1,124.94464827683719,1,19,1,5,4,118.53200440758619,1,0,0,1,0,0,18,0,0,7,8,7,11.109395937508157,0,0,8,8,8,12.58173330282704,0,11.158112454635681,1.9118684909245847,-4.060867340310286,Graduate
1,1,1,11,1,1,126.94464827683719,1,3,19,3,5,127.5320044075862,1,0,0,1,0,0,20,0,0,5,8,4,10.303145937508157,1,0,5,8,4,10.286733302827042,2,6.458112454635681,0.5118684909245848,1.739132659689714,Graduate
1,1,1,9,1,1,129.9446482768372,1,19,19,7,7,115.83200440758618,1,0,0,1,0,0,18,0,0,7,7,6,9.469812604174823,0,0,7,8,6,11.536733302827042,0,11.85811245463568,-0.5881315090754151,-0.9208673403102858,Enrolled
1,1,3,0,1,1,111.94464827683719,1,1,1,9,8,111.53200440758619,0,0,0,1,0,1,21,0,0,0,0,0,-2.1968540624918433,0,0,0,0,0,-1.9632666971729593,0,6.75811245463568,-0.2881315090754152,2.0191326596897143,Graduate
1,18,4,12,1,1,116.94464827683719,1,1,38,4,7,113.03200440758619,1,0,0,1,0,0,20,0,0,7,14,7,9.240645937508157,0,0,8,9,8,9.461733302827042,0,8.35811245463568,2.811868490924585,-1.7008673403102859,Enrolled
1,1,4,6,1,1,131.9446482768372,1,19,19,1,1,116.73200440758619,1,0,0,1,0,0,18,0,0,8,12,7,10.660288794651015,0,0,8,12,7,10.8938761599699,0,8.35811245463568,2.811868490924585,-1.7008673403102859,Graduate
1,1,4,8,1,1,114.94464827683719,1,1,38,4,7,106.1320044075862,1,0,0,1,0,1,19,0,0,6,8,6,11.178145937508157,0,0,6,7,6,10.322447588541326,0,6.75811245463568,-0.2881315090754152,2.0191326596897143,Graduate
1,1,1,6,1,1,115.94464827683719,1,19,19,3,7,115.1320044075862,0,0,0,1,0,0,19,0,0,7,8,6,11.099812604174826,0,0,8,9,7,12.151019017112755,0,6.75811245463568,-0.2881315090754152,2.0191326596897143,Graduate
1,1,1,7,1,1,140.9446482768372,1,19,38,9,9,148.2320044075862,1,0,1,1,0,1,18,0,0,6,8,5,9.403145937508157,0,0,6,12,4,9.036733302827042,0,3.25811245463568,1.711868490924585,0.3191326596897142,Enrolled
1,17,2,7,1,1,104.94464827683719,1,19,38,7,8,107.6320044075862,1,0,0,1,0,0,21,0,0,6,9,6,9.178145937508157,0,0,6,9,6,11.322447588541326,0,11.85811245463568,-0.5881315090754151,-0.9208673403102858,Graduate
1,1,1,10,1,1,127.94464827683719,1,19,19,3,3,122.23200440758619,1,0,0,1,0,0,18,0,0,5,9,5,10.469812604174823,2,0,5,7,4,11.036733302827042,0,5.058112454635681,-1.6881315090754152,-3.120867340310286,Enrolled
1,1,1,13,1,1,124.94464827683719,1,19,1,9,9,113.33200440758618,1,0,0,1,0,0,20,0,0,5,6,5,9.803145937508157,0,0,5,6,5,10.370066636160374,0,11.85811245463568,-0.5881315090754151,-0.9208673403102858,Graduate
1,17,2,6,1,1,116.94464827683719,1,3,3,1,10,110.03200440758619,1,0,0,1,1,0,19,0,0,7,9,6,10.736479270841489,0,0,7,7,6,11.75339996949371,0,11.85811245463568,-0.5881315090754151,-0.9208673403102858,Enrolled
